,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC,
,dpp,HP1C,dpp,1,1,28.53,,,1,
,dpp,HP1C,dpp,1,2,28.39,,0.14,1,
,dpp,HP1C,dpp,2,1,31.62,,,1,
,dpp,HP1C,dpp,2,2,30.83,,0.78,1,
,dpp,HP1C,dpp,3,1,30.88,,,1,
,dpp,HP1C,dpp,3,2,31.56,,-0.68,1,
,dpp,HP1C,dpp,4,1,31.05,,,1,
,dpp,HP1C,dpp,4,2,31.08,,-0.03,1,
,Baseline,HP1C,dpp,1,1,26.08,,,1,
,Baseline,HP1C,dpp,1,2,26.43,,-0.35,1,
,Baseline,HP1C,dpp,2,1,29.52,,,1,
,Baseline,HP1C,dpp,2,2,29.46,,0.06,1,
,Baseline,HP1C,dpp,3,1,29.08,,,1,
,Baseline,HP1C,dpp,3,2,28.99,,0.09,1,
,dpp,HP1C,RpL32,1,1,27.94,,,1,
,dpp,HP1C,RpL32,1,2,27.54,,0.40,1,
,dpp,HP1C,RpL32,2,1,28.10,,,1,
,dpp,HP1C,RpL32,2,2,28.11,,-0.01,1,
,dpp,HP1C,RpL32,3,1,26.03,,,1,
,dpp,HP1C,RpL32,3,2,26.23,,-0.20,1,
,dpp,HP1C,RpL32,4,1,28.05,,,1,
,dpp,HP1C,RpL32,4,2,28.15,,-0.10,1,
,Baseline,HP1C,RpL32,1,1,18.77,,,1,
,Baseline,HP1C,RpL32,1,2,18.58,,0.19,1,
,Baseline,HP1C,RpL32,2,1,18.23,,,1,
,Baseline,HP1C,RpL32,2,2,18.20,,0.04,1,
,Baseline,HP1C,RpL32,3,1,22.61,,,1,
,Baseline,HP1C,RpL32,3,2,22.72,,-0.11,1,
,dpp,GFP,dpp,1,1,30.34,,,1,
,dpp,GFP,dpp,1,2,30.85,,-0.51,1,
,dpp,GFP,dpp,2,1,30.62,,,1,
,dpp,GFP,dpp,2,2,30.29,,0.33,1,
,dpp,GFP,dpp,3,1,30.58,,,1,
,dpp,GFP,dpp,3,2,30.79,,-0.21,1,
,dpp,GFP,dpp,4,1,30.19,,,1,
,dpp,GFP,dpp,4,2,30.21,,-0.01,1,
,Baseline,GFP,dpp,1,1,25.82,,,1,
,Baseline,GFP,dpp,1,2,26.26,,-0.43,1,
,Baseline,GFP,dpp,2,1,26.74,,,1,
,Baseline,GFP,dpp,2,2,26.81,,-0.06,1,
,Baseline,GFP,dpp,3,1,29.30,,,1,
,Baseline,GFP,dpp,3,2,29.29,,0.02,1,
,dpp,GFP,RpL32,1,1,28.22,,,1,
,dpp,GFP,RpL32,1,2,28.03,,0.18,1,
,dpp,GFP,RpL32,2,1,27.91,,,1,
,dpp,GFP,RpL32,2,2,27.53,,0.38,1,
,dpp,GFP,RpL32,3,1,29.01,,,1,
,dpp,GFP,RpL32,3,2,28.27,,0.74,1,
,dpp,GFP,RpL32,4,1,28.60,,,1,
,dpp,GFP,RpL32,4,2,28.53,,0.07,1,
,Baseline,GFP,RpL32,1,1,20.12,,,1,
,Baseline,GFP,RpL32,1,2,19.79,,0.32,1,
,Baseline,GFP,RpL32,2,1,17.69,,,1,
,Baseline,GFP,RpL32,2,2,17.36,,0.32,1,
,Baseline,GFP,RpL32,3,1,28.12,,,1,
,Baseline,GFP,RpL32,3,2,28.02,,0.10,1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,